# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       2.337       34.800      101.172     4578.504
       2.346      151.100      101.172     4578.504
       2.355      101.100      101.172     4578.504
       2.363       83.400      101.172     4578.504
       2.371       98.000      101.172     4578.504
       2.379       91.300      101.172     4578.504
       2.386      116.700      101.172     4578.504
       2.394       98.900      101.172     4578.504
       2.402       87.300      101.172     4578.504
       2.410      102.800      101.172     4578.504
       2.417      119.500      101.172     4578.504
       2.424       91.700      101.172     4578.504
       2.432      100.100      101.172     4578.504
       2.440        0.000      101.172     4578.504
       2.447      134.200      101.172     4578.504
       2.454      172.300      101.172     4578.504
       2.462      102.800      101.172     4578.504
       2.470       77.400      101.172     4578.504
       2.477        0.000      101.172     4578.504
       2.485      145.900      101.172     4578.504
       2.492      152.000      101.172     4578.504
       2.500      123.600      101.172     4578.504
       2.508       17.700      101.172     4578.504
       2.516      177.700      101.172     4578.504
       2.523       79.300      101.172     4578.504
       2.531       95.100      101.172     4578.504
       2.539       64.400      101.172     4578.504
       2.546      164.600      101.172     4578.504
       2.554       70.900      101.172     4578.504
       2.561       95.500      101.172     4578.504
       2.569      132.700      101.172     4578.504
       2.576       21.400      101.172     4578.504
       2.584      124.300      101.172     4578.504
       2.592      143.000      101.172     4578.504
       2.599       43.600      101.172     4578.504
       2.607      131.100      101.172     4578.504
       2.614      128.700      101.172     4578.504
       2.622       93.000      101.172     4578.504
       2.629       54.600      101.172     4578.504
       2.636      121.900      101.172     4578.504
       2.644      128.000      101.172     4578.504
       2.651        0.000      101.172     4578.504
       2.658      141.600      101.172     4578.504
       2.666      153.900      101.172     4578.504
       2.674       74.100      101.172     4578.504
       2.681      110.500      101.172     4578.504
       2.688      110.000      101.172     4578.504
       2.696       56.300      101.172     4578.504
       2.703      158.500      101.172     4578.504
       2.711        5.500      101.172     4578.504
       2.718      151.200      101.172     4578.504
       2.726      143.700      101.172     4578.504
       2.733       93.400      101.172     4578.504
       2.741       57.100      101.172     4578.504
       2.748      132.900      101.172     4578.504
       2.756      100.100      101.172     4578.504
       2.764      111.800      101.172     4578.504
       2.772      100.700      101.172     4578.504
       2.779       90.900      101.172     4578.504
       2.787       50.800      101.172     4578.504
       2.795      148.400      101.172     4578.504
       2.802       23.700      101.172     4578.504
       2.809      114.500      101.172     4578.504
       2.817       79.400      101.172     4578.504
       2.824      132.100      101.172     4578.504
       2.831      133.800      101.172     4578.504
       2.839      127.200      101.172     4578.504
       2.846       63.200      101.172     4578.504
       2.854       93.800      101.172     4578.504
       2.862      142.200      101.172     4578.504
       2.869       96.800      101.172     4578.504
       2.877       80.900      101.172     4578.504
       2.885      106.000      101.172     4578.504
       2.893      108.800      101.172     4578.504
       2.900       10.900      101.172     4578.504
       2.908      181.200      101.172     4578.504
       2.916       81.200      101.172     4578.504
       2.924      129.800      101.172     4578.504
       2.931       95.500      101.172     4578.504
       2.939       98.900      101.172     4578.504
       2.947       83.500      101.172     4578.504
       2.955      115.900      101.172     4578.504
       2.962       70.800      101.172     4578.504
       2.970      127.000      101.172     4578.504
       2.978      102.600      101.172     4578.504
       2.986       72.700      101.172     4578.504
       2.994       97.000      101.172     4578.504
       3.002       97.400      101.172     4578.504
       3.009      128.800      101.172     4578.504
       3.017       84.100      101.172     4578.504
       3.025      116.700      101.172     4578.504
       3.033       69.600      101.172     4578.504
       3.040      123.700      101.172     4578.504
       3.048      104.600      101.172     4578.504
       3.055      101.600      101.172     4578.504
       3.063       92.500      101.172     4578.504
       3.071       73.900      101.172     4578.504
       3.078      131.100      101.172     4578.504
       3.086       90.300      101.172     4578.504
       3.094      109.600      101.172     4578.504
       3.101        8.100      101.172     4578.504
       3.109      180.500      101.172     4578.504
       3.117       96.200      101.172     4578.504
       3.125      107.400      101.172     4578.504
       3.135       97.000      101.172     4578.504
       3.142      104.900      101.172     4578.504
       3.151       85.000      101.172     4578.504
       3.158       87.600      101.172     4578.504
       3.166      120.300      101.172     4578.504
       3.173        0.000      101.172     4578.504
       3.181      148.400      101.172     4578.504
       3.188      162.700      101.172     4578.504
       3.195       52.300      101.172     4578.504
       3.203       95.700      101.172     4578.504
       3.210      156.900      101.199     4578.504
       3.218        3.500      101.199     4578.504
       3.226      187.800      101.199     4578.504
       3.234       98.700      101.199     4578.504
       3.242      102.900      101.199     4578.504
